sentence_id	dependent_id	dependent	dep_lemma	UPOS	XPOS	head_id	dependency_type	dependency_distance	dd_abs
1	1	为	为	ADP	IN	2	case	1	1
1	2	使	使	VERB	VV	19	xcomp	17	17
1	3	读者	读者	NOUN	NN	4	nsubj	1	1
1	4	易	易	VERB	VV	2	ccomp	-2	2
1	5	于	于	VERB	VV	4	mark	-1	1
1	6	理解	理解	VERB	VV	4	xcomp	-2	2
1	7	社会	社会	NOUN	NN	10	nmod	3	3
1	8	一般	一般	ADJ	JJ	10	amod	2	2
1	9	业务	业务	NOUN	NN	10	nmod	1	1
1	10	分工	分工	NOUN	NN	12	nsubj	2	2
1	11	所	所	ADV	RB	12	mark	1	1
1	12	产生	产生	VERB	VV	14	acl:relcl	2	2
1	13	的	的	PART	DEC	12	mark:rel	-1	1
1	14	结果	结果	NOUN	NN	6	obj	-8	8
1	15	，	，	PUNCT	,	2	punct	-13	13
1	16	我	我	PRON	PRP	19	nsubj	3	3
1	17	现在	现在	NOUN	NN	19	nmod:tmod	2	2
1	18	来	来	ADV	RB	19	mark	1	1
1	19	讨论	讨论	VERB	VV	0	root	-19	19
1	20	个别	个别	ADJ	JJ	24	amod	4	4
1	21	制造	制造	VERB	VV	22	compound	1	1
1	22	业	业	PART	SFN	24	nmod	2	2
1	23	分工	分工	NOUN	NN	24	nmod	1	1
1	24	状况	状况	NOUN	NN	19	obj	-5	5
1	25	。	。	PUNCT	.	19	punct	-6	6
EOS
2	1	一般	一般	ADJ	JJ	2	compound	1	1
2	2	人	人	PART	SFN	3	nsubj	1	1
2	3	认为	为	VERB	VV	0	root	-3	3
2	4	，	，	PUNCT	,	20	punct	16	16
2	5	分工	分工	NOUN	NN	7	nsubj	2	2
2	6	最	最	ADV	RB	7	advmod	1	1
2	7	完全	完全	ADJ	JJ	10	amod	3	3
2	8	的	的	PART	DEC	7	mark:rel	-1	1
2	9	制造	制造	VERB	VV	10	compound	1	1
2	10	业	业	PART	SFN	20	nsubj	10	10
2	11	，	，	PUNCT	,	10	punct	-1	1
2	12	乃	乃	ADV	RB	20	advmod	8	8
2	13	是	是	AUX	VC	20	cop	7	7
2	14	一些	一些	ADJ	JJ	20	amod	6	6
2	15	极	极	ADV	RB	17	advmod	2	2
2	16	不	不	ADV	RB	17	advmod	1	1
2	17	重要	重要	ADJ	JJ	20	amod	3	3
2	18	的	的	PART	DEC	17	mark:rel	-1	1
2	19	制造	制造	VERB	VV	20	compound	1	1
2	20	业	业	PART	SFN	3	ccomp	-17	17
2	21	。	。	PUNCT	.	3	punct	-18	18
EOS
3	1	不	不	ADV	RB	2	advmod	1	1
3	2	重要	重要	ADJ	JJ	4	amod	2	2
3	3	制造	制造	VERB	VV	4	compound	1	1
3	4	业	业	PART	SFN	6	nmod	2	2
3	5	的	的	PART	DEC	4	case	-1	1
3	6	分工	分工	NOUN	NN	19	nsubj	13	13
3	7	，	，	PUNCT	,	6	punct	-1	1
3	8	实际	实际	NOUN	NN	19	obl	11	11
3	9	上	上	ADP	IN	8	case	-1	1
3	10	并	并	ADV	RB	19	mark	9	9
3	11	不	不	ADV	RB	19	advmod	8	8
3	12	比	比	ADP	IN	17	case	5	5
3	13	重要	重要	ADJ	JJ	15	amod	2	2
3	14	制造	制造	NOUN	NN	15	compound	1	1
3	15	业	业	PART	SFN	17	nmod	2	2
3	16	的	的	PART	DEC	15	case	-1	1
3	17	分工	分工	NOUN	NN	19	nmod	2	2
3	18	更为	更为	ADV	RB	19	advmod	1	1
3	19	周密	周密	ADJ	JJ	0	root	-19	19
3	20	。	。	PUNCT	.	19	punct	-1	1
EOS
4	1	但是	但是	ADV	RB	4	mark	3	3
4	2	，	，	PUNCT	,	1	punct	-1	1
4	3	目的	目的	NOUN	NN	4	nsubj	1	1
4	4	在	在	VERB	VV	0	root	-4	4
4	5	于	于	VERB	VV	4	mark	-1	1
4	6	供给	供给	VERB	VV	4	xcomp	-2	2
4	7	少数	少数	ADJ	JJ	8	amod	1	1
4	8	人	人	NOUN	NN	10	nsubj	2	2
4	9	小量	小量	ADJ	JJ	10	advcl	1	1
4	10	需要	需要	VERB	VV	15	acl:relcl	5	5
4	11	的	的	PART	DEC	10	mark:rel	-1	1
4	12	不	不	ADV	RB	13	advmod	1	1
4	13	重要	重要	ADJ	JJ	15	amod	2	2
4	14	制造	制造	VERB	VV	15	compound	1	1
4	15	业	业	PART	SFN	6	obj	-9	9
4	16	，	，	PUNCT	,	25	punct	9	9
4	17	所	所	ADV	RB	18	mark	1	1
4	18	雇用	雇用	VERB	VV	22	acl:relcl	4	4
4	19	的	的	PART	DEC	18	mark:rel	-1	1
4	20	劳动	劳动	VERB	VV	21	compound	1	1
4	21	者	者	PART	SFN	22	nmod	1	1
4	22	人数	人数	NOUN	NN	25	nsubj	3	3
4	23	，	，	PUNCT	,	22	punct	-1	1
4	24	必然	必然	ADV	RB	25	advmod	1	1
4	25	不多	不多	ADJ	JJ	4	parataxis	-21	21
4	26	，	，	PUNCT	,	44	punct	18	18
4	27	而	而	ADV	RB	28	mark	1	1
4	28	从事	从事	VERB	VV	44	advcl	16	16
4	29	各	各	DET	DT	30	det	1	1
4	30	部门	部门	NOUN	NN	31	nsubj	1	1
4	31	工作	工作	VERB	VV	33	acl:relcl	2	2
4	32	的	的	PART	DEC	31	mark:rel	-1	1
4	33	工人	工人	NOUN	NN	28	obj	-5	5
4	34	，	，	PUNCT	,	28	punct	-6	6
4	35	往往	往往	ADV	RB	37	advmod	2	2
4	36	可	可	AUX	MD	37	aux	1	1
4	37	集合	集合	VERB	VV	44	advcl	7	7
4	38	在	在	VERB	VV	37	mark	-1	1
4	39	同	同	DET	DT	41	det	2	2
4	40	一	一	NUM	CD	41	nummod	1	1
4	41	工厂	工厂	NOUN	NN	37	obj	-4	4
4	42	内	内	ADP	IN	41	case	-1	1
4	43	，	，	PUNCT	,	37	punct	-6	6
4	44	使	使	VERB	VV	4	parataxis	-40	40
4	45	观察	观察	VERB	VV	46	compound	1	1
4	46	者	者	PART	SFN	49	nsubj	3	3
4	47	能	能	AUX	MD	49	aux	2	2
4	48	一	一	NUM	CD	49	obl	1	1
4	49	览	览	VERB	VV	44	ccomp	-5	5
4	50	无遗	无遗	ADJ	JJ	49	xcomp	-1	1
4	51	。	。	PUNCT	.	4	punct	-47	47
EOS
5	1	反之	反之	ADV	RB	9	advmod	8	8
5	2	，	，	PUNCT	,	1	punct	-1	1
5	3	那些	那些	DET	DT	6	det	3	3
5	4	大	大	PART	PFA	5	case	1	1
5	5	制造	制造	VERB	VV	6	compound	1	1
5	6	业	业	PART	SFN	9	nsubj	3	3
5	7	，	，	PUNCT	,	6	punct	-1	1
5	8	要	要	AUX	MD	9	aux	1	1
5	9	供给	供给	VERB	VV	0	root	-9	9
5	10	大	大	ADV	RB	11	advmod	1	1
5	11	多数	多数	ADJ	JJ	12	amod	1	1
5	12	人	人	NOUN	NN	15	nmod	3	3
5	13	的	的	PART	DEC	12	case	-1	1
5	14	大量	大量	ADJ	JJ	15	amod	1	1
5	15	需要	需要	NOUN	NN	9	obj	-6	6
5	16	，	，	PUNCT	,	23	punct	7	7
5	17	所以	所以	ADV	RB	23	mark	6	6
5	18	，	，	PUNCT	,	17	punct	-1	1
5	19	各	各	DET	DT	21	det	2	2
