sentence_id	sentence	dd_sum	dependency_relation	mdd_sentence	HI	HF	HI_per	HF_per
1	人人都力图依靠自己的劳动来满足自身随时发生的需要	32	14	2.2857142857142856	5	9	0.35714285714285715	0.6428571428571429
2	饿了便到森林去打猎衣服坏了便剥兽类的皮革来穿房屋破了便就近伐取树枝草皮尽其所能加以修茸	86	30	2.8666666666666667	11	19	0.36666666666666664	0.6333333333333333
3	在彻底实行分工之后一人自己劳动的产物便仅能满足自身随时发生的需要的极小部分	56	23	2.4347826086956523	6	17	0.2608695652173913	0.7391304347826086
4	其他大部分需要必得仰赖他人劳动的产物来供给	30	11	2.727272727272727	3	8	0.2727272727272727	0.7272727272727273
5	这种产物必由购买而得	17	7	2.4285714285714284	0	7	0.0	1.0
6	购买的手段即是他自己的产物或者说他自己产物的价格	38	15	2.533333333333333	5	10	0.3333333333333333	0.6666666666666666
7	但在购买以前不仅自己劳动的产物要已经作成还要已经卖掉所以至少在这两件事情能够办到以前必须先在某个地方储有各色各样的货物足以维持他的生活并提供材料和工具供他使用	191	48	3.9791666666666665	11	37	0.22916666666666666	0.7708333333333334
8	例如织匠在织物尚未作成尚未卖掉以前要不是在自己手中或他人手中有所蓄积足以维持他的生活并给他提供材料和工具他就织不出任何东西	156	40	3.9	13	27	0.325	0.675
9	很明显这种储蓄非在他开始从事这项职业很久以前完成不可	33	16	2.0625	6	10	0.375	0.625
10	按照事物的本性资财的蓄积必须在分工以前	22	10	2.2	3	7	0.3	0.7
11	预蓄的资财愈丰裕分工就能按比例地愈细密而分工越细密同一数量工人所能加工的材料就能按更大的比例增加	118	32	3.6875	8	24	0.25	0.75
12	每个工人所担任的操作既渐趋简单便有各种新机械发明使操作更为简便迅速	35	19	1.8421052631578947	4	15	0.21052631578947367	0.7894736842105263
13	所以当分工进步了的时候雇用工人数目不变所必须预先储有的食物供应要和在分工没有这样进步时相同而必须预先储蓄的材料和工具却要比在分工没有这样进步时所需要的来得多	231	48	4.8125	13	35	0.2708333333333333	0.7291666666666666
14	况且一种行业分工越是细密它的工人人数往往越是增加更确切地说使他们分工能够越来越细密的就是他们人数的增加	85	30	2.8333333333333335	8	22	0.26666666666666666	0.7333333333333333
15	要这样大大改进劳动生产力预蓄资财是绝对必要的	28	12	2.3333333333333335	2	10	0.16666666666666666	0.8333333333333334
16	而这种蓄积亦自然会导致这种改进	24	10	2.4	1	9	0.1	0.9
17	投资雇用劳动的人自然希望投资方法能够尽量产出最大量的产品	32	15	2.1333333333333333	6	9	0.4	0.6
18	所以对工人职务的分配必努力期其适当在能够发明或购买的限度内他所备置的机械必努力期其精良	88	28	3.142857142857143	7	21	0.25	0.75
19	但在这两方面他的能力怎样往往要看他能有多少资财看他能雇多少工人	55	21	2.619047619047619	6	15	0.2857142857142857	0.7142857142857143
20	所以在每一国家里不仅产业的数量随着举办产业的资财的增加而增加而且由于资财增加的结果同量产业所能生产的产品亦会大增	148	35	4.228571428571429	7	28	0.2	0.8
