sentence_id	sentence	dd_sum	dependency_relation	mdd_sentence	HI	HF	HI_per	HF_per
1	这种商业有的是以原生产物与制造品直接交换有的是以货币或纸币作媒介交换	64	21	3.0476190476190474	5	16	0.23809523809523808	0.7619047619047619
2	农村以生活资料及制造材料供给都市都市则以一部分制造品供给农村居民	45	18	2.5	6	12	0.3333333333333333	0.6666666666666666
3	不再生产亦不能再生产生活资料的都市其全部财富和全部生活资料都可说是得自农村	62	22	2.8181818181818183	7	15	0.3181818181818182	0.6818181818181818
4	但我们不要根据这点就说都市的利得即是农村的损失	50	15	3.3333333333333335	3	12	0.2	0.8
5	他们有相互的利害关系	10	5	2.0	2	3	0.4	0.6
6	这里分工的结果象其他方面的分工一样对双方从事各种职业的居民都有利益	46	19	2.4210526315789473	6	13	0.3157894736842105	0.6842105263157895
7	农村居民与其亲自劳动来制造他们需要的制造品无宁作这种交换因为由这种交换他们可用较小量的自身劳动生产物购得较大量的制造品	97	37	2.6216216216216215	9	28	0.24324324324324326	0.7567567567567568
8	都市是农村剩余产物的市场农民用不了的东西就拿到都市去交换他们需要的物品	59	20	2.95	8	12	0.4	0.6
9	都市的居民愈多其居民的收入愈大农村剩余产物的市场愈广阔	37	16	2.3125	5	11	0.3125	0.6875
10	这种市场愈广阔对广大人民愈有利	21	9	2.3333333333333335	0	9	0.0	1.0
11	在离都市一哩生产的谷物与在离都市二十哩生产的谷物在市上的售价都一样	77	22	3.5	6	16	0.2727272727272727	0.7272727272727273
12	但后者所得的售价一般地说不但要补偿其生产费用和上市费用而且要对农业家提供农业的普通利润	84	27	3.111111111111111	6	21	0.2222222222222222	0.7777777777777778
13	所以都市附近的农业家和耕作者从谷物售价所得的不仅是农业的普通利润而且包括自远地运来出售的谷物的运费全部价值	121	33	3.6666666666666665	8	25	0.24242424242424243	0.7575757575757576
14	此外在他们购买的东西的买价上他们还节省这些东西的远途运费的全部价值	51	19	2.6842105263157894	6	13	0.3157894736842105	0.6842105263157895
15	试一比较都市附近各农村和远离都市各农村的耕作事业你就知道都市商业是怎样有利于农村	56	23	2.4347826086956523	7	16	0.30434782608695654	0.6956521739130435
16	就连所有宣传贸易差额的各种谬说也没有一种敢妄说城乡通商对城市或对乡村有损的	71	24	2.9583333333333335	5	19	0.20833333333333334	0.7916666666666666
17	按照事物的本性生活资料必先于便利品和奢侈品所以生产前者的产业亦必先于生产后者的产业	70	26	2.6923076923076925	11	15	0.4230769230769231	0.5769230769230769
18	提供生活资料的农村的耕种和改良必先于只提供奢侈品和便利品的都市的增加	54	22	2.4545454545454546	10	12	0.45454545454545453	0.5454545454545454
19	乡村居民须先维持自己才只剩余产物维持都市的居民	36	13	2.769230769230769	4	9	0.3076923076923077	0.6923076923076923
20	所以要先增加农村产物的剩余才谈得上增设都市	37	12	3.0833333333333335	4	8	0.3333333333333333	0.6666666666666666
